descriptions,General,User,javot
,General,DateTime,7/17/2026 10:46:33 AM
,General,Origin,"Software revision: outputs_asymmetricspring.sdf, outputs_asymmetricspring.rta\nVariable description: outputs_asymmetricspring.sdf\n    Platform / Device: Platform [DS1202 MicroLabBox, assigned to 'ds1202']\nControlDesk version: 7.5"
,General,Description,
,Recording,StartCondition,None (Immediate Recording)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,20.59755245
,Measurement,StartTimestamp,0.6750186704
,Measurement,StopTimestamp,21.27257112
,MDF,Department,
,MDF,Project,
,MDF,MeasurementObject,

trace_size,20598
trace_types,4,4,4,4,4
trace_names,,Out1,Out1,Out1,Out1
trace_units,,,,,
devices,Platform,Platform,Platform,Platform,Platform
raster,HostService,HostService,HostService,HostService,HostService
description,,,,,
displayidentifier,,,,,
path,,Model Root/Divide,Model Root/Subsystem2/curr2torque,Model Root/Subsystem2/Shift,Model Root/Subsystem2/Shift1
flags,,0,0,0,0
min,,-Infinity,-Infinity,-Infinity,-Infinity
max,,Infinity,Infinity,Infinity,Infinity
minWeak,,-Infinity,-Infinity,-Infinity,-Infinity
maxWeak,,Infinity,Infinity,Infinity,Infinity
,12.609339944348143,285.1666259765625,0.7569584273881127,0.20636279286090245,-0.41391077169395107
,12.610339971069337,285.172119140625,0.75931212131387826,0.20760134392335924,-0.41489966608627954
,12.611340757812499,285.18310546875,0.76401950916540939,0.21008825000287343,-0.41686932061450699
,12.612340624536134,285.1885986328125,0.76637320309117507,0.21133659453778081,-0.41785006604518582
,12.613340731262205,285.1995849609375,0.77108059094270631,0.2138430402846474,-0.4198033565477054
,12.614340077966308,285.205078125,0.77343428486847188,0.21510113092822697,-0.42077588697130175
,12.615340864709474,285.216064453125,0.77814167272000312,0.21762702122722669,-0.42271268161422637
,12.616340891430664,285.2215576171875,0.78049536664576868,0.2188948102283344,-0.42367693124275596
,12.61734083815918,285.22705078125,0.78284906057153436,0.22016582133716039,-0.42463840603151298
,12.61834034486084,285.238037109375,0.7875564484230656,0.22271748841232281,-0.42655300201424912
,12.619340891601563,285.2435302734375,0.78991014234883117,0.2239981336102361,-0.42750610869475258
,12.620340838317873,285.2490234375,0.79226383627459684,0.225281979379055,-0.4284564115085841
,12.621340905041503,285.260009765625,0.79697122412612798,0.22785925093628215,-0.43034857661655818
,12.622340971777344,285.2655029296875,0.79932491805189354,0.2291526658426945,-0.4312904244753778
,12.623340958496094,285.2764892578125,0.80403230590342489,0.23174902660000887,-0.43316561478818494
,12.624340305200196,285.281982421875,0.80638599982919046,0.23305196148409191,-0.43409894286600581
,12.62534041192627,285.29296875,0.8110933876807217,0.23566731274032887,-0.43595702899845584
,12.626341078662108,285.303955078125,0.81580077553225283,0.23829526911946569,-0.43780364072814437
,12.62734038536377,285.31494140625,0.82050816338378418,0.24093578619152023,-0.43963872094894613
,12.628340412097167,285.325927734375,0.82521555123531531,0.24358881930238291,-0.44146221271556535
,12.629340558813478,285.3314208984375,0.82756924516108088,0.24492001535681068,-0.44236959517732949
,12.630340585546875,285.3424072265625,0.83227663301261223,0.24759173831052664,-0.44417559784406963
,12.631340612268065,285.3533935546875,0.83698402086414347,0.25027586469089047,-0.44596987040237207
,12.63234071899414,285.3643798828125,0.8416914087156746,0.25297234906376143,-0.4477523564762631
,12.633341305725097,285.3753662109375,0.84639879656720596,0.2556811457734055,-0.44952299985425859
,12.634340692431639,285.3863525390625,0.85110618441873709,0.25840220894306593,-0.45128174449017155
,12.635341359179687,285.391845703125,0.85345987834450276,0.25976732605362113,-0.45215663731081074
,12.63634074588623,285.40283203125,0.8581672661960339,0.26250670241231322,-0.45389742911057146
,12.637340692602539,285.413818359375,0.86287465404756503,0.26525822957592837,-0.45562618278124445
,12.638340839331054,285.4193115234375,0.86522834797333081,0.2666385351413087,-0.45648602797992505
,12.639341466064455,285.4302978515625,0.86993573582486194,0.26940820098315571,-0.45819662051976301
,12.640341492797852,285.435791015625,0.87228942975062762,0.2707975495163113,-0.45904735405899633
,12.641340759497069,285.44677734375,0.87699681760215875,0.27358524834680964,-0.46073966125098104
,12.642340786218263,285.457763671875,0.8817042054536901,0.27638491009086763,-0.46241970948528283
,12.643341532958985,285.46875,0.88641159330522123,0.27919648723253843,-0.46408744398100615
,12.644340839660643,285.4742431640625,0.88876528723098691,0.2806067291696509,-0.4649166765049047
,12.645340986389161,285.4852294921875,0.89347267508251804,0.28343608984287916,-0.46656583805523844
,12.646341173120117,285.4962158203125,0.89818006293404939,0.28627724617991052,-0.46820254966936325
,12.647340919836427,285.5072021484375,0.90288745078558053,0.28913014991121688,-0.46982675717213784
,12.648341626574709,285.5181884765625,0.90759483863711177,0.29199475255331581,-0.47143840656326252
,12.649341133288573,285.5291748046875,0.9123022264886429,0.29487100540937694,-0.4730374440180608
,12.650341200012207,285.5401611328125,0.91700961434017414,0.29775885956983189,-0.47462381588825997
,12.651341106726075,285.5511474609375,0.92171700219170527,0.30065826591298656,-0.47619746870276919
,12.652341053454588,285.5621337890625,0.92642439004323662,0.3035691751056363,-0.47775834916845583
,12.653341880200195,285.567626953125,0.92877808396900219,0.30502892779621227,-0.47853398316523743
,12.654341866918944,285.57861328125,0.93348547182053332,0.30795699830218715,-0.48007560557425349
,12.655341213623046,285.589599609375,0.93819285967206456,0.31089644740334738,-0.48160432318525581
,12.656341840368654,285.6005859375,0.94290024752359591,0.3138472250310842,-0.48312008333404666
,12.657341987097169,285.611572265625,0.94760763537512704,0.31680928090807903,-0.48462283353785313
,12.658341933813478,285.6170654296875,0.94996132930089261,0.31829452242147249,-0.48536931355931723
,12.659341360522461,285.6280517578125,0.95466871715242385,0.3212734009473826,-0.48685245083919571
,12.660341427246095,285.64453125,0.96172979892972077,0.32576261214404006,-0.48905250238905057
,12.661341973986815,285.655517578125,0.9664371867812519,0.32876927409280443,-0.49050269164040244
,12.662341280688477,285.66650390625,0.97114457463278314,0.33178695979573775,-0.49193961128096386
,12.66334158741455,285.6829833984375,0.97820565641008006,0.33633404514153692,-0.49406999788270822
,12.664341454138185,285.6939697265625,0.98291304426161119,0.33937906439968196,-0.49547351912516563
,12.665342080871582,285.71044921875,0.989974126038908,0.34396690676434649,-0.49755356897593894
,12.666341467578125,285.721435546875,0.99468151389043935,0.34703893441920125,-0.49892337363478861
,12.667342214318847,285.732421875,0.99938890174197048,0.35012167368005864,-0.50027960322933485
,12.668341761035155,285.743408203125,1.0040962895935017,0.35321507181498124,-0.50162220751292763
,12.669342187768553,285.7598876953125,1.0111573713707986,0.3578750385623275,-0.50361045703643581
,12.670341534472655,285.7708740234375,1.0158647592223298,0.36099485186726055,-0.50491877947008901
,12.671341721203614,285.7818603515625,1.0205721470738609,0.36412513791136836,-0.50621330224001171
,12.672341707922364,285.7928466796875,1.0252795349253923,0.36726584306654658,-0.50749397596572154
,12.673341694641113,285.8038330078125,1.0299869227769236,0.3704169135073852,-0.5087607514612279
,12.674341801367188,285.8148193359375,1.0346943106284547,0.37357829521184399,-0.51001357973575856
,12.675341628088379,285.831298828125,1.0417553924057514,0.37833958273255003,-0.51186656442328948
,12.676342454833986,285.84228515625,1.0464627802572828,0.38152650496537693,-0.51308431159839729
,12.677342401550295,285.853271484375,1.0511701681088139,0.38472354784603718,-0.51428794163259994
,12.678341828259278,285.8697509765625,1.0582312498861106,0.38953796823860826,-0.51606681187303605
,12.679342575,285.8807373046875,1.062938637737642,0.3927600721364401,-0.51723493903863293
,12.680342561730956,285.8917236328125,1.0676460255891733,0.39599210369525817,-0.51838878157447354
,12.681341828430178,285.908203125,1.07470710736647,0.40085864378537611,-0.52009265805814764
,12.682342135156251,285.919189453125,1.0794144952180014,0.40411525095953904,-0.52121058207207227
,12.68334264189453,285.9356689453125,1.0864755769952981,0.40901839227899228,-0.52286036038602923
,12.684342468615721,285.9466552734375,1.0911829648468292,0.41229922478774761,-0.5239420727692109
,12.685341935327148,285.9576416015625,1.0958903526983605,0.41558964869228188,-0.5250092191424468
,12.686342002050782,285.9686279296875,1.1005977405498919,0.41888960729008623,-0.52606175332297311
,12.687342748791504,285.985107421875,1.1076588223271886,0.42385729824189933,-0.52761305621434695
,12.688342775512695,285.99609375,1.1123662101787199,0.42718084427926267,-0.52862885921597713
,12.689342042211916,286.0125732421875,1.1194272919560166,0.43218364806205989,-0.53012485168128543
,12.690342788964845,286.029052734375,1.1264883737333136,0.43720726070690169,-0.5315874541836958
,12.691342855688475,286.0455322265625,1.1335494555106105,0.44225148695546301,-0.5330165152364531
,12.692342322387695,286.06201171875,1.1406105372879072,0.44731613063056946,-0.53441188441726661
,12.693342549121095,286.072998046875,1.1453179251394383,0.4507038054708441,-0.53532333903257479
,12.694342255834961,286.0894775390625,1.1523790069167352,0.45580203976289213,-0.53666222372902728
,12.695342322558595,286.10595703125,1.1594400886940319,0.46092016389253676,-0.53796702067020863
,12.696342309277345,286.116943359375,1.1641474765455633,0.46434319807440372,-0.53881787527739911
,12.697343016027833,286.1279296875,1.1688548643970946,0.46777492420510142,-0.53965347151660714
,12.698343082751464,286.1444091796875,1.1759159461743913,0.47293868058598576,-0.5408781626153526
,12.699343029467773,286.1553955078125,1.1806233340259227,0.47639187586372356,-0.54167542564937299
,12.7003424961792,286.171875,1.1876844158032194,0.4815875554597005,-0.54284241771679853
,12.701343122912597,286.182861328125,1.1923918036547505,0.4850618452452517,-0.54360108270731977
,12.702342589624024,286.1993408203125,1.1994528854320476,0.49028888407217042,-0.54470998104015933
,12.703343136364747,286.2158203125,1.2065139672093443,0.49553446605191714,-0.54578383580969703
,12.704343203088378,286.226806640625,1.2112213550608755,0.4990417210885188,-0.54648020159131894
,12.70534258979492,286.2432861328125,1.2182824368381724,0.50431775158574199,-0.54749534179945769
,12.706342736523439,286.259765625,1.2253435186154691,0.50961177576203387,-0.54847506992605177
,12.707343283251952,286.270751953125,1.2300509064670004,0.51315101921386486,-0.54910848136047963
,12.708342629968261,286.2872314453125,1.2371119882442974,0.51847457109195794,-0.55002888739928191
,12.709343336706542,286.2982177734375,1.2418193760958285,0.52203330650150759,-0.55062262601215362
,12.710343363427736,286.314697265625,1.2488804578731254,0.52738580552408532,-0.55148333708000052
,12.711343350146485,286.32568359375,1.2535878457246565,0.53096364457312328,-0.55203715604274217
,12.712342776855468,286.3421630859375,1.2606489275019532,0.53634450635506714,-0.55283780454665021
,12.713343443603517,286.358642578125,1.2677100092792504,0.54174210371266673,-0.55360224128166036
,12.714342830310059,286.3751220703125,1.2747710910565471,0.54715622409615261,-0.5543303369874506
,12.715342737023924,286.3916015625,1.2818321728338438,0.55258665415296859,-0.5550219635647563
,12.716343563769531,286.4080810546875,1.2888932546111407,0.55803317973383781,-0.55567699407988558
,12.717342790466308,286.424560546875,1.2959543363884374,0.56349558589885329,-0.55629530276920525
,12.718342817199709,286.4410400390625,1.3030154181657345,0.56897365692359281,-0.55687676504359573
,12.719343003918457,286.4520263671875,1.3077228060172656,0.57263430009014937,-0.5572438753373915
,12.720342990649414,286.468505859375,1.3147838877945623,0.57813799771550134,-0.55776365325956534
,12.721343697387695,286.4794921875,1.3194912756460937,0.58181552394406477,-0.55808952772310461
,12.722343724108885,286.4959716796875,1.3265523574233904,0.58734424321038536,-0.55854728397390307
,12.723343030810547,286.5069580078125,1.3312597452749217,0.59103824801770355,-0.55883169956431611
,12.724343017541504,286.5234375,1.3383208270522187,0.59659138044767868,-0.55922710234316719
,12.72534380428467,286.534423828125,1.3430282149037498,0.60030145702140691,-0.55946983970770758
,12.726343791003419,286.5509033203125,1.3500892966810465,0.60587839066819316,-0.55980256276571205
,12.72734385772705,286.5673828125,1.3571503784583434,0.61146930988538295,-0.56009752371348087
,12.728343884448243,286.578369140625,1.3618577663098745,0.61520424939474694,-0.56027312893629011
,12.729343111157227,286.5948486328125,1.3689188480871717,0.62081798361818075,-0.56050489979386942
,12.730343137878418,286.611328125,1.3759799298644684,0.62644510910196394,-0.56069860663726134
,12.731343964624024,286.6278076171875,1.3830410116417651,0.63208540166507443,-0.56085413849011745
,12.732343991345214,286.6387939453125,1.3877483994932964,0.63585280072421502,-0.56093656381606261
,12.733343258044435,286.6497802734375,1.3924557873448276,0.63962588507586338,-0.56100194146207205
,12.734343524780275,286.666259765625,1.3995168691221245,0.6452960250484473,-0.56106797366154737
,12.735343951513673,286.67724609375,1.4042242569736558,0.64908302945063989,-0.56109059276920026
,12.736343338220216,286.6937255859375,1.4112853387509525,0.65477373447318477,-0.56109233949411663
,12.737344084960938,286.7047119140625,1.4159927266024837,0.65857423839916873,-0.56107200406812652
,12.738344151684572,286.72119140625,1.4230538083797806,0.6642848761059017,-0.56100917420340668
,12.739343498388671,286.7376708984375,1.4301148901570773,0.67000716858986731,-0.56090746105196088
,12.740344165124512,286.754150390625,1.4371759719343744,0.67574088641320085,-0.5607667631449017
,12.74134347183838,286.7706298828125,1.4442370537116711,0.6814857994805813,-0.56058698027028442
,12.742343738562013,286.787109375,1.4512981354889678,0.68724167704581185,-0.56036801347688658
,12.743344245300293,286.8035888671875,1.4583592172662647,0.69300828771841894,-0.56010976507795363
,12.744343592004395,286.8145751953125,1.4630666051177958,0.69685854311516904,-0.55991572869806849
,12.745344218737792,286.8255615234375,1.4677739929693272,0.70071339676607813,-0.5597041626933873
,12.746343565454101,286.842041015625,1.4748350747466241,0.70650414793458782,-0.55935388445255219
,12.7473443921875,286.85302734375,1.4795424625981553,0.71037019495076092,-0.55909837242514537
,12.748344378918457,286.864013671875,1.4842498504496864,0.71424059808413098,-0.55882523386728833
,12.749343645617675,286.8804931640625,1.4913109322269833,0.72005421853791918,-0.55838241703440306
,12.750343712341309,286.8914794921875,1.4960183200785144,0.72393520783599719,-0.5580650940640175
,12.751343819067383,286.907958984375,1.5030794018558113,0.72976438089404549,-0.55755587577920096
,12.752343845788573,286.9189453125,1.5077867897073427,0.7336555204027807,-0.55719420288093069
,12.753344552539062,286.9354248046875,1.5148478714846394,0.73949959075780614,-0.5566183378602465
,12.754343979235841,286.9464111328125,1.5195552593361705,0.74340044269632211,-0.55621215350835662
,12.755344605981445,286.962890625,1.5266163411134674,0.74925875232692662,-0.55556940246560371
,12.756344632702636,286.973876953125,1.5313237289649986,0.75316887712238967,-0.55511854914164949
,12.757343859399413,286.98486328125,1.5360311168165299,0.75708258758550528,-0.55464978502465312
,12.758344686145019,286.995849609375,1.5407385046680613,0.76099981299224762,-0.55416308581376639
,12.759344032849121,287.0068359375,1.5454458925195924,0.76492048250862354,-0.55365842746692251
,12.760344459594727,287.017822265625,1.5501532803711235,0.76884452519157731,-0.55313578620126791
,12.761344646313475,287.0343017578125,1.5572143621484205,0.77473675844945966,-0.55231805494408803
,12.762344033020021,287.0452880859375,1.5619217499999516,0.77866892296543433,-0.55175035403636019
,12.763344739758299,287.0562744140625,1.5666291378514827,0.78260421150150405,-0.55116458901728715
,12.76434480649414,287.07275390625,1.5736902196287799,0.78851284557784063,-0.55025202188953015
,12.765344913220215,287.0892333984375,1.5807513014060766,0.79442810648474504,-0.54929868448862074
,12.766344859936524,287.1002197265625,1.5854586892576077,0.79837517583899298,-0.54864043953007724
,12.767344126635741,287.11669921875,1.5925197710349046,0.80430094341158298,-0.547618988149012
,12.768344153356935,287.127685546875,1.5972271588864357,0.80825479254770738,-0.54691526696721604
,12.769344900109864,287.1441650390625,1.6042882406637327,0.81419039217705746,-0.54582550254313156
,12.770344366809081,287.1551513671875,1.608995628515264,0.81815057058099339,-0.5450761744895406
,12.771344993554688,287.1661376953125,1.6137030163667951,0.82211315420598896,-0.54430856803065952
,12.772345060278319,287.1771240234375,1.6184104042183263,0.82607807063009409,-0.54352266318876286
,12.773345006994628,287.1881103515625,1.6231177920698574,0.83004524733649931,-0.54271844025162463
,12.774344273706056,287.1990966796875,1.6278251799213888,0.83401461171446556,-0.54189587977289977
,12.775344460424805,287.2100830078125,1.6325325677729199,0.83798609106025279,-0.54105496257249952
,12.776344407153321,287.2210693359375,1.6372399556244512,0.8419596125780523,-0.54019566973696587
,12.777344753881835,287.2320556640625,1.6419473434759826,0.84593510338091815,-0.53931798261984198
,12.778345220617677,287.2430419921875,1.6466547313275137,0.8499124904917027,-0.53842188284203896
,12.779344607324219,287.2540283203125,1.6513621191790449,0.85389170084399091,-0.53750735229220059
,12.780345274060057,287.2705078125,1.6584232009563418,0.85986377490031451,-0.53610095981113415
,12.781344540771485,287.281494140625,1.6631305888078729,0.86384722311343554,-0.53514027485426696
,12.782345287512207,287.29248046875,1.667837976659404,0.86783223814616428,-0.53416109784919352
,12.783345354235841,287.303466796875,1.6725453645109354,0.87181874654199387,-0.53316341189377536
,12.784344740942384,287.314453125,1.6772527523624665,0.87580667476031937,-0.53214720035555196
,12.785345367675781,287.325439453125,1.6819601402139976,0.87979594917738035,-0.53111244687208492
,12.786344794384764,287.33642578125,1.6866675280655292,0.88378649608720716,-0.53005913535129812
,12.787345421130372,287.347412109375,1.6913749159170604,0.88777824170256558,-0.5289872499718149
,12.788344807836914,287.3583984375,1.6960823037685915,0.89177111215590732,-0.52789677518329148
,12.789345434570311,287.369384765625,1.7007896916201226,0.89576503350031644,-0.52678769570674799
,12.790345501293945,287.38037109375,1.705497079471654,0.89975993171046142,-0.52565999653489592
,12.791344807995607,287.3858642578125,1.7078507733974198,0.90175772398606069,-0.52508915994782179
,12.792344994726562,287.40234375,1.7149118551747162,0.90775236224025835,-0.52334868043650928
,12.793345541467286,287.413330078125,1.7196192430262478,0.91174974612573378,-0.52216503485675514
,12.794345568188476,287.42431640625,1.7243266308777789,0.91574781001049999,-0.52096271227588553
,12.79534563491211,287.435302734375,1.7290340187293101,0.91974647949143884,-0.51974169904986645
,12.796344981616212,287.4517822265625,1.736095100506607,0.92574545627020099,-0.51787510507821555
,12.797345648364256,287.4627685546875,1.7408024883581381,0.92974531375326208,-0.51660730734284332
,12.798344995068359,287.4737548828125,1.7455098762096695,0.93374551585544374,-0.51532077336469906
,12.799345781811525,287.4847412109375,1.7502172640612006,0.93774598785408014,-0.51401549073327335
,12.800345808532715,287.4957275390625,1.7549246519127317,0.94174665495813792,-0.5126914473129901
,12.801345115234376,287.5067138671875,1.7596320397642629,0.94574744230918051,-0.51134863124349761
,12.802345661975096,287.5177001953125,1.764339427615794,0.94974827498233216,-0.50998703093995468
,12.803345848693848,287.5286865234375,1.7690468154673256,0.95374907798724484,-0.50860663509331439
,12.804345755419924,287.5396728515625,1.7737542033188567,0.95774977626906321,-0.50720743267060464
,12.805345822143554,287.5506591796875,1.778461591170388,0.96175029470939521,-0.50578941291520496
,12.806345288854981,287.55615234375,1.7808152850961534,0.96375046299737066,-0.50507334325193476
,12.807345995593263,287.567138671875,1.7855226729476845,0.96775057069188231,-0.50362707793402861
,12.808345982312012,287.578125,1.7902300607992161,0.97175031047730942,-0.50216196960270743
,12.809345369018555,287.589111328125,1.7949374486507472,0.97574960702051383,-0.50067800847071575
,12.810345315747071,287.60009765625,1.7996448365022784,0.97974838492918903,-0.49917518502835517
,12.811346102490234,287.611083984375,1.8043522243538095,0.98374656875283306,-0.49765349004374371
,12.812346129211427,287.6220703125,1.8090596122053408,0.98774408298372307,-0.49611291456307127
,12.813345395910645,287.633056640625,1.813767000056872,0.9917408520578912,-0.49455344991085226
,12.814346182653807,287.64404296875,1.8184743879084031,0.99573680035610113,-0.49297508769017401
,12.815346209375001,287.655029296875,1.8231817757599347,0.99973185220482597,-0.49137781978294276
,12.816345476086425,287.666015625,1.8278891636114658,1.003725931877226,-0.48976163835012626
,12.817345702807618,287.677001953125,1.8325965514629969,1.0077189635941293,-0.48812653583199211
,12.81834560953369,287.68798828125,1.8373039393145281,1.0117108715250116,-0.48647250494834404
,12.819346276269531,287.698974609375,1.8420113271660594,1.0157015797889777,-0.48479953869875386
,12.820346062988282,287.7044677734375,1.8443650210918252,1.0176964603195557,-0.48395595270065217
,12.821346249719237,287.7154541015625,1.8490724089433563,1.0216852266986998,-0.48225457088890189
,12.822346276440431,287.7264404296875,1.8537797967948875,1.0256726034947652,-0.4805342374356199
,12.823345743151854,287.73193359375,1.8561334907206533,1.0276657470354957,-0.47966696195135877
,12.824345809875489,287.742919921875,1.8608408785721844,1.0316508968498239,-0.47791818983702927
,12.825346436608886,287.75390625,1.8655482664237155,1.0356344668716069,-0.4761504515590394
,12.826346383337402,287.764892578125,1.8702556542752466,1.0396163809383823,-0.47436374180026308
,12.827345850048829,287.77587890625,1.874963042126778,1.0435965628442119,-0.47255805552487518
,12.828345836767578,287.786865234375,1.8796704299783091,1.0475749363406692,-0.47073338797855763
,12.8293465835083,287.7978515625,1.8843778178298403,1.0515514251378286,-0.46888973468870115
,12.830345890209962,287.8143310546875,1.8914388996071372,1.0575124575387258,-0.46608864739475425
,12.831346556958007,287.8253173828125,1.8961462874586683,1.0614839005558139,-0.46419751202888615
,12.832346063659667,287.830810546875,1.8984999813844341,1.0634688198325739,-0.46324481986159433
,12.833346690405275,287.841796875,1.9032073692359652,1.0674370061379717,-0.46132518451256055
,12.834346077111817,287.852783203125,1.9079147570874966,1.0714029257066353,-0.45938654528941991
,12.835346743847655,287.86376953125,1.9126221449390277,1.0753665020204621,-0.45742889941387577
,12.836346730566405,287.8692626953125,1.9149758388647935,1.0773473875354296,-0.45644294819062092
,12.837345997277833,287.8802490234375,1.9196832267163246,1.0813073054202467,-0.45445678774634229
,12.838345983996582,287.8912353515625,1.9243906145678558,1.0852646886059791,-0.45245161494255881
,12.83934689074707,287.896728515625,1.9267443084936215,1.087242405739576,-0.45144189833635945
,12.84034663746338,287.90771484375,1.9314516963451527,1.0911958431769069,-0.44940820373145085
,12.841346744189455,287.9132080078125,1.933805390270918,1.0931715443103986,-0.44838422539238248
,12.84234613088379,287.9241943359375,1.9385127781224494,1.0971208634675225,-0.44632200592317783
,12.843346317614746,287.9351806640625,1.9432201659739807,1.1010673412044318,-0.44424076864916806
,12.844346224340821,287.940673828125,1.9455738598997463,1.1030394905560761,-0.44319301812068163
,12.845347011083984,287.95166015625,1.9502812477512774,1.106981562242372,-0.44108325300682505
,12.846346917797852,287.962646484375,1.9549886356028086,1.1109206005756176,-0.43895446899258111
,12.847347064526367,287.9681396484375,1.9573423295285743,1.1128889582299568,-0.43788294490528673
,12.848347051245117,287.9791259765625,1.9620497173801055,1.116823302490741,-0.43572563274094112
,12.849346997973633,287.984619140625,1.9644034113058713,1.1187892698833624,-0.43463984478550882
,12.85034646468506,287.99560546875,1.9691107991574024,1.1227187471476436,-0.43245400556568675
,12.851347171423338,288.006591796875,1.9738181870089335,1.1266448836404446,-0.43024914939176839
,12.852347198144532,288.0120849609375,1.9761718809346993,1.1286066750636623,-0.42913959031052318
,12.853346664855955,288.0230712890625,1.9808792687862307,1.1325276561846238,-0.42690621104240206
,12.854346691577149,288.028564453125,1.983232962711996,1.1344868266469834,-0.42578239126218737
,12.855346598291014,288.03955078125,1.9879403505635271,1.138402479278023,-0.42352049255986185
,12.856346665026855,288.0450439453125,1.9902940444892929,1.1403589422042688,-0.42238241415143574
,12.857347251757812,288.0560302734375,1.9950014323408241,1.1442690931638584,-0.42009200063811442
,12.858346718469239,288.0615234375,1.9973551262665898,1.1462227619482841,-0.4189396661539953
,12.85934738520508,288.0670166015625,1.9997088201923552,1.1481754801014938,-0.41778258029518206
,12.860347371936037,288.0780029296875,2.0044162080438865,1.1520780260055346,-0.41545415589147366
,12.861347398657227,288.08349609375,2.0067699019696521,1.1540278344996833,-0.4142828181102442
,12.862347385375976,288.094482421875,2.0114772898211832,1.1579244744239119,-0.41192589343223068
,12.863347332092285,288.0999755859375,2.0138309837469492,1.159871286592147,-0.41074030740635092
,12.864346838806153,288.1109619140625,2.0185383715984804,1.1637618471803373,-0.40835489029221206
,12.865347545544434,288.116455078125,2.0208920655242459,1.165705576333852,-0.40715506018215464
,12.866346892248536,288.12744140625,2.0255994533757771,1.1695898841884202,-0.40474115943574218
,12.867347598999025,288.138427734375,2.0303068412273086,1.1734699272038032,-0.40230827496927851
,12.868347625720215,288.1439208984375,2.0326605351530738,1.1754083253061149,-0.40108471527627948
,12.869347052429198,288.1549072265625,2.0373679230046049,1.1792818265138676,-0.39862336399791037
,12.870346919140626,288.1658935546875,2.0420753108561365,1.1831508701386486,-0.39614304110820125
,12.871347705883789,288.1768798828125,2.0467826987076676,1.1870153790698894,-0.39364375195212831
,12.872347052587891,288.182373046875,2.0491363926334332,1.1889459089267274,-0.39238699677290018
,12.87334755932617,288.193359375,2.0538437804849643,1.1928034712226205,-0.38985926886626748
,12.874347666052245,288.1988525390625,2.0561974744107299,1.1947304843807782,-0.38858829765432351
,12.875347612780761,288.2098388671875,2.0609048622622614,1.1985809265136236,-0.38603214463630287
,12.876347239489746,288.21533203125,2.063258556188027,1.2005043362062287,-0.38474696445327256
,12.877347666223145,288.2208251953125,2.0656122501137926,1.2024265254613475,-0.38345704959948612
,12.878347492944336,288.2318115234375,2.0703196379653237,1.2062672040937876,-0.38086301932304473
,12.879347919677734,288.2373046875,2.0726733318910893,1.2081856741883317,-0.37955890566694311
,12.880347866394043,288.248291015625,2.0773807197426204,1.2120188277271395,-0.37693648586993939
,12.881347973120118,288.2537841796875,2.0797344136683864,1.213933491888771,-0.37561818160326055
,12.882347239819335,288.25927734375,2.0820881075941515,1.2158468681236165,-0.37429514903719407
,12.883347946569824,288.270263671875,2.0867954954456827,1.2196697182489487,-0.37163490295279406
,12.884347253271486,288.2757568359375,2.0891491893714487,1.2215791728578822,-0.37029769145229219
,12.885348040014648,288.2867431640625,2.0938565772229798,1.2253940929660807,-0.36760909671392922
,12.886348146740723,288.292236328125,2.0962102711487454,1.2272995391852681,-0.36625771560163789
,12.887347333435059,288.30322265625,2.1009176590002769,1.2311063557560173,-0.36354079133945744
,12.888347360168456,288.3087158203125,2.1032713529260421,1.233007706829548,-0.36217525042290094
,12.889348186914063,288.3197021484375,2.1079787407775732,1.2368062463609504,-0.35943001673691111
,12.890348133630372,288.3251953125,2.1103324347033392,1.2387034155434082,-0.35805032630859457
,12.891347520336915,288.3306884765625,2.1126861286291048,1.2405991714875999,-0.35666592174741862
,12.892347587060549,288.3416748046875,2.1173935164806359,1.2443864051161548,-0.35388297510635952
,12.893347573779298,288.34716796875,2.1197472104064015,1.2462778635294838,-0.35248443551133379
,12.894347760510254,288.358154296875,2.1244545982579326,1.2500564153814291,-0.34967323011920737
,12.895348387255858,288.3636474609375,2.1268082921836982,1.251943489552962,-0.34826056691478702
,12.89634773395996,288.3746337890625,2.1315156800352297,1.2557131862249236,-0.34542112610572329
,12.897348000683593,288.380126953125,2.1338693739609953,1.2575957894627916,-0.34399435120159438
,12.898347747399903,288.39111328125,2.1385767618125264,1.2613564575920999,-0.34112669928023232
,12.899348454138185,288.3966064453125,2.140930455738292,1.2632345032260734,-0.33968582507135719
,12.900348480871582,288.402099609375,2.1432841496640576,1.2651110104028092,-0.33824025393254892
,12.901347827575684,288.4130859375,2.1479915375155887,1.2688593708799738,-0.33533502667957299
,12.902347894299318,288.4185791015625,2.1503452314413547,1.2707312049306196,-0.33387537351756308
,12.903348521032715,288.424072265625,2.1526989253671198,1.272601462024523,-0.33241102932993621
,12.904347947741698,288.4295654296875,2.1550526192928858,1.2744701325394479,-0.33094199563770949
,12.905348534484862,288.4405517578125,2.159760007144417,1.2782026753490432,-0.32798986591340379
,12.906348121191407,288.446044921875,2.1621137010701825,1.280066528404965,-0.32650677301323611
,12.907347867907713,288.45703125,2.1668210889217141,1.2837893497312447,-0.32352653910146295
,12.908347894628907,288.4625244140625,2.1691747828474792,1.2856482987702373,-0.32202940132961805
,12.909348721374514,288.468017578125,2.1715284767732452,1.2875055939077178,-0.32052758520359809
,12.910348708093263,288.47900390625,2.1762358646247764,1.2912151840299495,-0.31750992456626853
