descriptions,General,User,javot
,General,DateTime,7/17/2026 10:46:33 AM
,General,Origin,"Software revision: outputs_asymmetricspring.sdf, outputs_asymmetricspring.rta\nVariable description: outputs_asymmetricspring.sdf\n    Platform / Device: Platform [DS1202 MicroLabBox, assigned to 'ds1202']\nControlDesk version: 7.5"
,General,Description,
,Recording,StartCondition,None (Immediate Recording)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,20.59755245
,Measurement,StartTimestamp,0.6750186704
,Measurement,StopTimestamp,21.27257112
,MDF,Department,
,MDF,Project,
,MDF,MeasurementObject,

trace_size,20598
trace_types,4,4,4,4,4
trace_names,,Out1,Out1,Out1,Out1
trace_units,,,,,
devices,Platform,Platform,Platform,Platform,Platform
raster,HostService,HostService,HostService,HostService,HostService
description,,,,,
displayidentifier,,,,,
path,,Model Root/Divide,Model Root/Subsystem2/curr2torque,Model Root/Subsystem2/Shift,Model Root/Subsystem2/Shift1
flags,,0,0,0,0
min,,-Infinity,-Infinity,-Infinity,-Infinity
max,,Infinity,Infinity,Infinity,Infinity
minWeak,,-Infinity,-Infinity,-Infinity,-Infinity
maxWeak,,Infinity,Infinity,Infinity,Infinity
,0.12600340208740235,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.12700278874511728,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.128003455444336,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.12900284211425783,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.13000354881591802,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.13100333549804688,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.13200352218017586,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.13300298885498052,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.13400357554931641,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.13500364223632821,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.13600290889892586,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.13700361560058594,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.13800304226074223,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.13900314895019539,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.14000377564697275,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.14100380233154297,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.14200318900146491,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.14300305567626959,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.14400324235839845,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.14500394906005865,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.14600317573242194,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.14700332241210945,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.14800398911132817,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.1490040157958985,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.15000344246826181,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.15100342915039067,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.15200329582519534,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.15300348250732421,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.1540041892089844,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.15500417589111337,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.15600348255615237,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.15700350924072271,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.15800425594482426,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.15900376260986337,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.16000422930908209,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.16100369598388675,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.16200428267822264,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.16300370933837893,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.16400441604003912,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.16500372270507813,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.16600386939697265,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.16700453609619148,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.16800380275878912,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.16900386944580081,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.17000453614501954,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.17100384281005865,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.17200406949462899,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.17300465618896488,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.17400392285156252,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.17500402954101568,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.17600473624267587,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.1770047629272461,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.17800398958740238,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.17900481629638676,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.18000480297851562,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.1810048696533203,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.18200413632812507,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.18300420300292974,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.1840049497070313,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.1850048963867188,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.18600504307861332,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.18700434974365243,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.18800505644531251,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.18900444310302733,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.19000434979248049,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.19100437647705082,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.19200496317138671,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.19300466984863285,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.19400529654541021,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.19500516322021488,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.19600458989257818,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.19700525659179691,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.19800464326171874,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.19900474993896489,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.20000537663574225,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.20100536331787111,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.20200470998535158,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.20300469666748056,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.20400492336425791,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.20500555006103516,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.20600485672607427,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.20700496340332031,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.2080048300903321,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.209005616784668,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.2100055634643555,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.21100487012939462,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.21200509682617197,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.213005003503418,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.21400503018798833,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.2150058568847657,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.216005083557129,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.21700507023925786,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.21800525692138673,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.21900592362060556,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.22000515028076173,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.22100589698486328,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.22200588366699225,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.22300535034179692,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.22400597703857428,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.22500600372314461,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.22600535039062508,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.22700533707275394,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.22800616376953131,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.22900539042968759,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.23000621713867186,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.23100620382080084,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.23200611049804687,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.23300557717285164,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.23400628387451172,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.23500631054687504,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.23600573721923834,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.23700580390625003,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.23800639060058593,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.23900577727050787,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.24000644396972659,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.24100595063476571,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
